House Vote #1 2020-01-07T18:55:00 - Call of the House
person,state,district,vote,name,party
412283,CA,50,Not Voting,"Rep. Duncan D. Hunter [R, 2013-2020]",Republican
412286,AZ,2,Present,"Rep. Ann Kirkpatrick [D, 2019-2022]",Democrat
412292,MO,3,Present,"Rep. Blaine Luetkemeyer [R, 2013-2024]",Republican
412293,NM,3,Present,"Rep. Ben Ray Luján [D, 2009-2020]",Democrat
412295,CA,4,Present,"Rep. Tom McClintock [R, 2009-2022]",Republican
412302,TX,22,Present,"Rep. Pete Olson [R, 2009-2020]",Republican
412307,ME,1,Present,"Rep. Chellie Pingree [D, 2009-2024]",Democrat
412309,FL,8,Present,"Rep. Bill Posey [R, 2013-2024]",Republican
412310,TN,1,Present,"Rep. David “Phil” Roe [R, 2009-2020]",Republican
412315,OR,5,Present,"Rep. Kurt Schrader [D, 2009-2022]",Democrat
412317,PA,15,Present,"Rep. Glenn Thompson [R, 2019-2024]",Republican
412318,NV,1,Present,"Rep. Dina Titus [D, 2013-2024]",Democrat
412319,NY,20,Present,"Rep. Paul Tonko [D, 2013-2024]",Democrat
412327,OH,11,Present,"Rep. Marcia Fudge [D, 2008-2021]",Democrat
412331,IL,5,Present,"Rep. Mike Quigley [D, 2009-2024]",Democrat
412379,CA,27,Not Voting,"Rep. Judy Chu [D, 2013-2022]",Democrat
412382,CA,3,Present,"Rep. John Garamendi [D, 2013-2022]",Democrat
412385,FL,22,Not Voting,"Rep. Theodore “Ted” Deutch [D, 2017-2022]",Democrat
412388,GA,14,Present,"Rep. Tom Graves [R, 2013-2020]",Republican
412393,NY,23,Present,"Rep. Tom Reed [R, 2013-2022]",Republican
412394,AL,2,Present,"Rep. Martha Roby [R, 2011-2020]",Republican
412395,AL,5,Present,"Rep. Mo Brooks [R, 2011-2022]",Republican
412396,AL,7,Present,"Rep. Terri Sewell [D, 2011-2024]",Democrat
412397,AZ,4,Present,"Rep. Paul Gosar [R, 2013-2022]",Republican
412399,AZ,6,Present,"Rep. David Schweikert [R, 2013-2022]",Republican
412400,AR,1,Not Voting,"Rep. Eric “Rick” Crawford [R, 2011-2024]",Republican
412402,AR,3,Present,"Rep. Steve Womack [R, 2011-2024]",Republican
412404,CA,37,Present,"Rep. Karen Bass [D, 2013-2022]",Democrat
412405,CO,3,Present,"Rep. Scott Tipton [R, 2011-2020]",Republican
412410,FL,11,Not Voting,"Rep. Daniel Webster [R, 2017-2024]",Republican
412412,FL,24,Not Voting,"Rep. Frederica Wilson [D, 2013-2024]",Democrat
412416,GA,7,Present,"Rep. Rob Woodall [R, 2011-2020]",Republican
412417,GA,8,Present,"Rep. Austin Scott [R, 2011-2024]",Republican
412421,IL,16,Present,"Rep. Adam Kinzinger [R, 2013-2022]",Republican
412427,IN,8,Present,"Rep. Larry Bucshon [R, 2011-2024]",Republican
412432,LA,2,Not Voting,"Rep. Cedric Richmond [D, 2011-2021]",Democrat
412434,MD,1,Present,"Rep. Andy Harris [R, 2011-2024]",Republican
412435,MA,9,Present,"Rep. William R. Keating [D, 2013-2024]",Democrat
412437,MI,2,Present,"Rep. Bill Huizenga [R, 2011-2022]",Republican
412438,MI,3,Present,"Rep. Justin Amash [L, 2011-2020]",Independent
412443,MS,4,Present,"Rep. Steven Palazzo [R, 2011-2022]",Republican
412444,MO,4,Present,"Rep. Vicky Hartzler [R, 2011-2022]",Republican
412445,MO,7,Present,"Rep. Billy Long [R, 2011-2022]",Republican
412460,OH,6,Present,"Rep. Bill Johnson [R, 2011-2024]",Republican
412461,OH,15,Present,"Rep. Steve Stivers [R, 2011-2021]",Republican
412463,OH,7,Present,"Rep. Bob Gibbs [R, 2013-2022]",Republican
412465,PA,16,Present,"Rep. Mike Kelly [R, 2019-2024]",Republican
412470,RI,1,Present,"Rep. David Cicilline [D, 2011-2023]",Democrat
412472,SC,3,Present,"Rep. Jeff Duncan [R, 2011-2024]",Republican
412476,TN,3,Present,"Rep. Charles “Chuck” Fleischmann [R, 2011-2024]",Republican
412477,TN,4,Present,"Rep. Scott DesJarlais [R, 2011-2024]",Republican
412480,TX,17,Present,"Rep. Bill Flores [R, 2011-2020]",Republican
412485,VA,9,Not Voting,"Rep. Morgan Griffith [R, 2011-2024]",Republican
412486,WA,3,Present,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican
412487,WV,1,Present,"Rep. David McKinley [R, 2011-2022]",Republican
412500,NV,2,Present,"Rep. Mark Amodei [R, 2011-2024]",Republican
412501,OR,1,Present,"Rep. Suzanne Bonamici [D, 2012-2024]",Democrat
412503,KY,4,Not Voting,"Rep. Thomas Massie [R, 2012-2024]",Republican
412505,WA,1,Present,"Rep. Suzan DelBene [D, 2012-2024]",Democrat
412506,NJ,10,Present,"Rep. Donald Payne Jr. [D, 2012-2024]",Democrat
412510,CA,1,Not Voting,"Rep. Doug LaMalfa [R, 2013-2024]",Republican
412511,CA,2,Present,"Rep. Jared Huffman [D, 2013-2024]",Democrat
412512,CA,7,Present,"Rep. Ami Bera [D, 2013-2022]",Democrat
412513,CA,8,Present,"Rep. Paul Cook [R, 2013-2020]",Republican
412514,CA,15,Present,"Rep. Eric Swalwell [D, 2013-2022]",Democrat
412516,CA,26,Present,"Rep. Julia Brownley [D, 2013-2024]",Democrat
412517,CA,29,Present,"Rep. Tony Cárdenas [D, 2013-2024]",Democrat
412519,CA,36,Present,"Rep. Raul Ruiz [D, 2013-2022]",Democrat
412520,CA,41,Present,"Rep. Mark Takano [D, 2013-2022]",Democrat
412521,CA,47,Present,"Rep. Alan Lowenthal [D, 2013-2022]",Democrat
412522,CA,51,Present,"Rep. Juan Vargas [D, 2013-2022]",Democrat
412523,CA,52,Present,"Rep. Scott Peters [D, 2013-2022]",Democrat
412525,FL,3,Present,"Rep. Ted Yoho [R, 2013-2020]",Republican
