House Vote #15 2023-01-06T13:46:00 - Election of the Speaker
person,state,district,vote,name,party
412783,MD,6,Not Voting,Rep. David Trone [D],Democrat
412784,MI,7,Jeffries,Rep. Elissa Slotkin [D],Democrat
412786,MI,11,Jeffries,Rep. Haley Stevens [D],Democrat
412787,MI,12,Jeffries,Rep. Rashida Tlaib [D],Democrat
412789,MN,2,Jeffries,Rep. Angie Craig [D],Democrat
412790,MN,3,Jeffries,Rep. Dean Phillips [D],Democrat
412791,MN,5,Jeffries,Rep. Ilhan Omar [D],Democrat
412792,MN,8,McCarthy,Rep. Pete Stauber [R],Republican
412793,MS,3,McCarthy,Rep. Michael Guest [R],Republican
412794,ND,0,McCarthy,Rep. Kelly Armstrong [R],Republican
412795,NH,1,Jeffries,Rep. Chris Pappas [D],Democrat
412796,NJ,2,McCarthy,Rep. Jefferson Van Drew [R],Republican
412797,NJ,3,Jeffries,Rep. Andy Kim [D],Democrat
412799,NJ,11,Jeffries,Rep. Mikie Sherrill [D],Democrat
412802,NV,3,Jeffries,Rep. Susie Lee [D],Democrat
412804,NY,14,Jeffries,Rep. Alexandria Ocasio-Cortez [D],Democrat
412809,PA,4,Jeffries,Rep. Madeleine Dean [D],Democrat
412810,PA,6,Jeffries,Rep. Chrissy Houlahan [D],Democrat
412811,PA,9,McCarthy,Rep. Daniel Meuser [R],Republican
412812,PA,13,McCarthy,Rep. John Joyce [R],Republican
412813,PA,14,McCarthy,Rep. Guy Reschenthaler [R],Republican
412815,SC,4,McCarthy,Rep. William Timmons [R],Republican
412816,SD,0,McCarthy,Rep. Dusty Johnson [R],Republican
412817,TN,2,McCarthy,Rep. Tim Burchett [R],Republican
412818,TN,6,McCarthy,Rep. John W. Rose [R],Republican
412819,TN,7,McCarthy,Rep. Mark E. Green [R],Republican
412820,TX,2,McCarthy,Rep. Dan Crenshaw [R],Republican
412822,TX,5,McCarthy,Rep. Lance Gooden [R],Republican
412824,TX,7,Jeffries,Rep. Lizzie Fletcher [D],Democrat
412825,TX,16,Jeffries,Rep. Veronica Escobar [D],Democrat
412826,TX,21,McCarthy,Rep. Chip Roy [R],Republican
412827,TX,29,Jeffries,Rep. Sylvia Garcia [D],Democrat
412828,TX,32,Jeffries,Rep. Colin Allred [D],Democrat
412832,VA,6,McCarthy,Rep. Ben Cline [R],Republican
412833,VA,7,Jeffries,Rep. Abigail Spanberger [D],Democrat
412834,VA,10,Jeffries,Rep. Jennifer Wexton [D],Democrat
412835,WA,8,Jeffries,Rep. Kim Schrier [D],Democrat
412836,WI,1,McCarthy,Rep. Bryan Steil [R],Republican
412837,WV,1,McCarthy,Rep. Carol Miller [R],Republican
412842,ME,2,Jeffries,Rep. Jared Golden [D],Democrat
412844,NC,8,McCarthy,Rep. Dan Bishop [R],Republican
412845,NC,3,McCarthy,Rep. Gregory Murphy [R],Republican
456791,WI,7,McCarthy,Rep. Thomas Tiffany [R],Republican
456792,CA,27,McCarthy,Rep. Mike Garcia [R],Republican
456799,AL,1,McCarthy,Rep. Jerry Carl [R],Republican
456800,AL,2,McCarthy,Rep. Barry Moore [R],Republican
456801,CA,23,McCarthy,Rep. Jay Obernolte [R],Republican
456802,CA,40,McCarthy,Rep. Young Kim [R],Republican
456803,CA,45,McCarthy,Rep. Michelle Steel [R],Republican
456804,CA,51,Jeffries,Rep. Sara Jacobs [D],Democrat
456805,CO,3,Hern,Rep. Lauren Boebert [R],Republican
456806,FL,3,McCarthy,Rep. Katherine “Kat” Cammack [R],Republican
456807,FL,18,McCarthy,Rep. Scott Franklin [R],Republican
456808,FL,19,McCarthy,Rep. Byron Donalds [R],Republican
456809,FL,28,McCarthy,Rep. Carlos Gimenez [R],Republican
456810,FL,27,McCarthy,Rep. Maria Salazar [R],Republican
456811,GA,5,Jeffries,Rep. Nikema Williams [D],Democrat
456813,GA,9,McCarthy,Rep. Andrew Clyde [R],Republican
456814,GA,14,McCarthy,Rep. Marjorie Taylor Greene [R],Republican
456816,IA,2,McCarthy,Rep. Ashley Hinson [R],Republican
456817,IA,1,McCarthy,Rep. Mariannette Miller-Meeks [R],Republican
456818,IA,4,McCarthy,Rep. Randy Feenstra [R],Republican
