House Vote #1 2023-01-03T12:28:00 - Call By States
person,state,district,vote,name,party
412600,MA,5,Present,Rep. Katherine Clark [D],Democrat
412606,NJ,1,Present,Rep. Donald Norcross [D],Democrat
412607,NC,12,Present,Rep. Alma Adams [D],Democrat
412608,AL,6,Present,Rep. Gary Palmer [R],Republican
412609,AR,2,Present,Rep. French Hill [R],Republican
412610,AR,4,Present,Rep. Bruce Westerman [R],Republican
412612,AZ,3,Present,Rep. Ruben Gallego [D],Democrat
412613,CA,10,Present,Rep. Mark DeSaulnier [D],Democrat
412615,CA,33,Present,Rep. Pete Aguilar [D],Democrat
412616,CA,36,Present,Rep. Ted Lieu [D],Democrat
412617,CA,35,Present,Rep. Norma Torres [D],Democrat
412619,CO,4,Present,"Rep. Ken Buck [R, 2015-2024]",Republican
412622,GA,1,Present,Rep. Earl “Buddy” Carter [R],Republican
412624,GA,11,Present,Rep. Barry Loudermilk [R],Republican
412625,GA,12,Present,Rep. Rick Allen [R],Republican
412629,IL,12,Present,Rep. Mike Bost [R],Republican
412631,LA,6,Present,Rep. Garret Graves [R],Republican
412632,MA,6,Present,Rep. Seth Moulton [D],Democrat
412634,MI,2,Present,Rep. John Moolenaar [R],Republican
412637,MI,6,Present,Rep. Debbie Dingell [D],Democrat
412639,MN,6,Present,Rep. Tom Emmer [R],Republican
412640,MT,1,Present,Rep. Ryan Zinke [R],Republican
412641,NC,7,Present,Rep. David Rouzer [R],Republican
412644,NJ,12,Present,Rep. Bonnie Watson Coleman [D],Democrat
412648,NY,21,Present,Rep. Elise Stefanik [R],Republican
412652,PA,2,Present,Rep. Brendan Boyle [D],Democrat
412655,TX,36,Present,Rep. Brian Babin [R],Republican
412657,VA,8,Present,Rep. Donald Beyer [D],Democrat
412660,WA,4,Present,Rep. Dan Newhouse [R],Republican
412661,WI,6,Present,Rep. Glenn Grothman [R],Republican
412662,WV,2,Present,Rep. Alexander Mooney [R],Republican
412673,MS,1,Present,Rep. Trent Kelly [R],Republican
412674,IL,16,Present,Rep. Darin LaHood [R],Republican
412675,OH,8,Present,Rep. Warren Davidson [R],Republican
412676,KY,1,Present,Rep. James Comer [R],Republican
412677,PA,3,Present,Rep. Dwight Evans [D],Democrat
412683,AZ,5,Present,Rep. Andy Biggs [R],Republican
412684,CA,17,Present,Rep. Ro Khanna [D],Democrat
412685,CA,19,Present,Rep. Jimmy Panetta [D],Democrat
412686,CA,24,Present,Rep. Salud Carbajal [D],Democrat
412687,CA,44,Present,Rep. Nanette Barragán [D],Democrat
412688,CA,46,Present,Rep. Luis Correa [D],Democrat
412689,DE,0,Present,Rep. Lisa Blunt Rochester [D],Democrat
412690,FL,1,Present,Rep. Matt Gaetz [R],Republican
412691,FL,2,Present,Rep. Neal Dunn [R],Republican
412692,FL,5,Present,Rep. John Rutherford [R],Republican
412695,FL,9,Present,Rep. Darren Soto [D],Democrat
412698,FL,21,Present,Rep. Brian Mast [R],Republican
412700,GA,3,Present,Rep. Drew Ferguson [R],Republican
412701,IL,8,Present,Rep. Raja Krishnamoorthi [D],Democrat
412702,IN,3,Present,Rep. Jim Banks [R],Republican
412705,LA,3,Present,Rep. Clay Higgins [R],Republican
412706,LA,4,Present,Rep. Mike Johnson [R],Republican
412708,MD,8,Present,Rep. Jamie Raskin [D],Democrat
412709,MI,1,Present,Rep. Jack Bergman [R],Republican
412713,NE,2,Present,Rep. Don Bacon [R],Republican
412714,NJ,5,Present,Rep. Josh Gottheimer [D],Democrat
412718,NY,13,Present,Rep. Adriano Espaillat [D],Democrat
412720,NY,24,Present,Rep. Claudia Tenney [R],Republican
412721,PA,1,Present,Rep. Brian Fitzpatrick [R],Republican
412722,PA,11,Present,Rep. Lloyd Smucker [R],Republican
412724,TN,8,Present,Rep. David Kustoff [R],Republican
412725,TX,34,Present,Rep. Vicente Gonzalez [D],Democrat
412726,TX,19,Present,Rep. Jodey Arrington [R],Republican
412728,--,--,Not Voting,"Rep. Donald McEachin [D, 2017-2022]",Unknown
412730,WA,7,Present,Rep. Pramila Jayapal [D],Democrat
412731,WI,8,Present,"Rep. Mike Gallagher [R, 2017-2024]",Republican
412735,KS,4,Present,Rep. Ron Estes [R],Republican
412738,SC,5,Present,Rep. Ralph Norman [R],Republican
412739,CA,34,Present,Rep. Jimmy Gomez [D],Democrat
412740,UT,3,Present,Rep. John Curtis [R],Republican
412745,AZ,8,Present,Rep. Debbie Lesko [R],Republican
412746,TX,27,Present,Rep. Michael Cloud [R],Republican
412747,OH,12,Present,Rep. Troy Balderson [R],Republican
412748,OK,1,Present,Rep. Kevin Hern [R],Republican
412749,NY,25,Present,Rep. Joseph Morelle [D],Democrat
412750,PA,5,Present,Rep. Mary Gay Scanlon [D],Democrat
412751,PA,7,Present,Rep. Susan Wild [D],Democrat
412753,AZ,4,Present,Rep. Greg Stanton [D],Democrat
412754,CA,9,Present,Rep. Josh Harder [D],Democrat
412758,CA,47,Present,Rep. Katie Porter [D],Democrat
412760,CA,49,Present,Rep. Mike Levin [D],Democrat
412761,CO,2,Present,Rep. Joe Neguse [D],Democrat
412762,CO,6,Present,Rep. Jason Crow [D],Democrat
412763,CT,5,Present,Rep. Jahana Hayes [D],Democrat
412764,FL,6,Present,Rep. Michael Waltz [R],Republican
412766,FL,17,Present,Rep. Gregory Steube [R],Republican
412769,GA,7,Present,Rep. Lucy McBath [D],Democrat
412773,ID,1,Present,Rep. Russ Fulcher [R],Republican
412774,IL,4,Present,Rep. Jesús “Chuy” García [D],Democrat
412775,IL,6,Present,Rep. Sean Casten [D],Democrat
412776,IL,14,Present,Rep. Lauren Underwood [D],Democrat
412777,IN,4,Present,Rep. James Baird [R],Republican
412778,IN,6,Present,Rep. Greg Pence [R],Republican
412780,KS,3,Present,Rep. Sharice Davids [D],Democrat
412781,MA,3,Present,Rep. Lori Trahan [D],Democrat
412782,MA,7,Present,Rep. Ayanna Pressley [D],Democrat
412783,MD,6,Present,Rep. David Trone [D],Democrat
412784,MI,7,Present,Rep. Elissa Slotkin [D],Democrat
412786,MI,11,Present,Rep. Haley Stevens [D],Democrat
412787,MI,12,Present,Rep. Rashida Tlaib [D],Democrat
412789,MN,2,Present,Rep. Angie Craig [D],Democrat
412790,MN,3,Present,Rep. Dean Phillips [D],Democrat
412791,MN,5,Present,Rep. Ilhan Omar [D],Democrat
412792,MN,8,Present,Rep. Pete Stauber [R],Republican
412793,MS,3,Present,Rep. Michael Guest [R],Republican
412794,ND,0,Present,Rep. Kelly Armstrong [R],Republican
412795,NH,1,Present,Rep. Chris Pappas [D],Democrat
412796,NJ,2,Present,Rep. Jefferson Van Drew [R],Republican
412797,NJ,3,Present,Rep. Andy Kim [D],Democrat
412799,NJ,11,Present,Rep. Mikie Sherrill [D],Democrat
412802,NV,3,Present,Rep. Susie Lee [D],Democrat
412804,NY,14,Present,Rep. Alexandria Ocasio-Cortez [D],Democrat
412809,PA,4,Present,Rep. Madeleine Dean [D],Democrat
412810,PA,6,Present,Rep. Chrissy Houlahan [D],Democrat
412811,PA,9,Present,Rep. Daniel Meuser [R],Republican
412812,PA,13,Present,Rep. John Joyce [R],Republican
412813,PA,14,Present,Rep. Guy Reschenthaler [R],Republican
412815,SC,4,Present,Rep. William Timmons [R],Republican
412816,SD,0,Present,Rep. Dusty Johnson [R],Republican
412817,TN,2,Present,Rep. Tim Burchett [R],Republican
412818,TN,6,Present,Rep. John W. Rose [R],Republican
412819,TN,7,Present,Rep. Mark E. Green [R],Republican
412820,TX,2,Present,Rep. Dan Crenshaw [R],Republican
412822,TX,5,Present,Rep. Lance Gooden [R],Republican
412824,TX,7,Present,Rep. Lizzie Fletcher [D],Democrat
412825,TX,16,Present,Rep. Veronica Escobar [D],Democrat
412826,TX,21,Present,Rep. Chip Roy [R],Republican
412827,TX,29,Present,Rep. Sylvia Garcia [D],Democrat
412828,TX,32,Present,Rep. Colin Allred [D],Democrat
412832,VA,6,Present,Rep. Ben Cline [R],Republican
412833,VA,7,Present,Rep. Abigail Spanberger [D],Democrat
412834,VA,10,Present,Rep. Jennifer Wexton [D],Democrat
412835,WA,8,Present,Rep. Kim Schrier [D],Democrat
412836,WI,1,Present,Rep. Bryan Steil [R],Republican
412837,WV,1,Present,Rep. Carol Miller [R],Republican
412842,ME,2,Present,Rep. Jared Golden [D],Democrat
412844,NC,8,Present,Rep. Dan Bishop [R],Republican
412845,NC,3,Present,Rep. Gregory Murphy [R],Republican
456791,WI,7,Present,Rep. Thomas Tiffany [R],Republican
456792,CA,27,Present,Rep. Mike Garcia [R],Republican
456799,AL,1,Present,Rep. Jerry Carl [R],Republican
456800,AL,2,Present,Rep. Barry Moore [R],Republican
456801,CA,23,Present,Rep. Jay Obernolte [R],Republican
456802,CA,40,Present,Rep. Young Kim [R],Republican
456803,CA,45,Present,Rep. Michelle Steel [R],Republican
456804,CA,51,Present,Rep. Sara Jacobs [D],Democrat
456805,CO,3,Present,Rep. Lauren Boebert [R],Republican
456806,FL,3,Present,Rep. Katherine “Kat” Cammack [R],Republican
456807,FL,18,Present,Rep. Scott Franklin [R],Republican
456808,FL,19,Present,Rep. Byron Donalds [R],Republican
456809,FL,28,Present,Rep. Carlos Gimenez [R],Republican
456810,FL,27,Present,Rep. Maria Salazar [R],Republican
456811,GA,5,Present,Rep. Nikema Williams [D],Democrat
456813,GA,9,Present,Rep. Andrew Clyde [R],Republican
456814,GA,14,Present,Rep. Marjorie Taylor Greene [R],Republican
456816,IA,2,Present,Rep. Ashley Hinson [R],Republican
456817,IA,1,Present,Rep. Mariannette Miller-Meeks [R],Republican
456818,IA,4,Present,Rep. Randy Feenstra [R],Republican
456820,IL,15,Present,Rep. Mary Miller [R],Republican
456821,IN,1,Present,Rep. Frank Mrvan [D],Democrat
456822,IN,5,Present,Rep. Victoria Spartz [R],Republican
456823,KS,1,Present,Rep. Tracey Mann [R],Republican
456824,KS,2,Present,Rep. Jacob “Jake” LaTurner [R],Republican
456825,MA,4,Present,Rep. Jake Auchincloss [D],Democrat
456827,MI,9,Present,Rep. Lisa McClain [R],Republican
456828,MN,7,Present,Rep. Michelle Fischbach [R],Republican
456829,MO,1,Present,Rep. Cori Bush [D],Democrat
456830,MT,2,Present,Rep. Matthew Rosendale [R],Republican
456831,NC,2,Present,Rep. Deborah Ross [D],Democrat
456832,NC,6,Present,Rep. Kathy Manning [D],Democrat
456835,NM,3,Present,Rep. Teresa Leger Fernandez [D],Democrat
456836,NY,2,Present,Rep. Andrew Garbarino [R],Republican
456837,NY,11,Present,Rep. Nicole Malliotakis [R],Republican
456838,NY,15,Present,Rep. Ritchie Torres [D],Democrat
456839,NY,16,Present,Rep. Jamaal Bowman [D],Democrat
456841,OK,5,Present,Rep. Stephanie Bice [R],Republican
456842,OR,2,Present,Rep. Cliff Bentz [R],Republican
456843,SC,1,Present,Rep. Nancy Mace [R],Republican
456844,TN,1,Present,Rep. Diana Harshbarger [R],Republican
456845,TX,4,Present,Rep. Patrick “Pat” Fallon [R],Republican
456846,TX,11,Present,Rep. August Pfluger [R],Republican
