House Vote #601 2019-10-30T17:54:00 - On Motion to Recommit with Instructions: H.R. 1373: Grand Canyon Centennial Protection Act
person,state,district,vote,name,party
412286,AZ,2,No,"Rep. Ann Kirkpatrick [D, 2019-2022]",Democrat
412292,MO,3,Aye,"Rep. Blaine Luetkemeyer [R, 2013-2024]",Republican
412293,NM,3,No,"Rep. Ben Ray Luján [D, 2009-2020]",Democrat
412295,CA,4,Aye,"Rep. Tom McClintock [R, 2009-2022]",Republican
412302,TX,22,Aye,"Rep. Pete Olson [R, 2009-2020]",Republican
412307,ME,1,No,"Rep. Chellie Pingree [D, 2009-2024]",Democrat
412309,FL,8,Aye,"Rep. Bill Posey [R, 2013-2024]",Republican
412310,TN,1,Aye,"Rep. David “Phil” Roe [R, 2009-2020]",Republican
412315,OR,5,No,"Rep. Kurt Schrader [D, 2009-2022]",Democrat
412317,PA,15,Aye,"Rep. Glenn Thompson [R, 2019-2024]",Republican
412318,NV,1,No,"Rep. Dina Titus [D, 2013-2024]",Democrat
412319,NY,20,No,"Rep. Paul Tonko [D, 2013-2024]",Democrat
412327,OH,11,No,"Rep. Marcia Fudge [D, 2008-2021]",Democrat
412331,IL,5,No,"Rep. Mike Quigley [D, 2009-2024]",Democrat
412379,CA,27,No,"Rep. Judy Chu [D, 2013-2022]",Democrat
412382,CA,3,No,"Rep. John Garamendi [D, 2013-2022]",Democrat
412385,FL,22,No,"Rep. Theodore “Ted” Deutch [D, 2017-2022]",Democrat
412388,GA,14,Aye,"Rep. Tom Graves [R, 2013-2020]",Republican
412393,NY,23,Aye,"Rep. Tom Reed [R, 2013-2022]",Republican
412394,AL,2,Aye,"Rep. Martha Roby [R, 2011-2020]",Republican
412395,AL,5,Aye,"Rep. Mo Brooks [R, 2011-2022]",Republican
412396,AL,7,No,"Rep. Terri Sewell [D, 2011-2024]",Democrat
412397,AZ,4,Aye,"Rep. Paul Gosar [R, 2013-2022]",Republican
412399,AZ,6,Aye,"Rep. David Schweikert [R, 2013-2022]",Republican
412400,AR,1,Aye,"Rep. Eric “Rick” Crawford [R, 2011-2024]",Republican
412402,AR,3,Aye,"Rep. Steve Womack [R, 2011-2024]",Republican
412404,CA,37,No,"Rep. Karen Bass [D, 2013-2022]",Democrat
412405,CO,3,Aye,"Rep. Scott Tipton [R, 2011-2020]",Republican
412410,FL,11,Aye,"Rep. Daniel Webster [R, 2017-2024]",Republican
412412,FL,24,No,"Rep. Frederica Wilson [D, 2013-2024]",Democrat
412416,GA,7,Aye,"Rep. Rob Woodall [R, 2011-2020]",Republican
412417,GA,8,Aye,"Rep. Austin Scott [R, 2011-2024]",Republican
412421,IL,16,Aye,"Rep. Adam Kinzinger [R, 2013-2022]",Republican
412427,IN,8,Aye,"Rep. Larry Bucshon [R, 2011-2024]",Republican
412432,LA,2,No,"Rep. Cedric Richmond [D, 2011-2021]",Democrat
412434,MD,1,Aye,"Rep. Andy Harris [R, 2011-2024]",Republican
412435,MA,9,No,"Rep. William R. Keating [D, 2013-2024]",Democrat
412437,MI,2,Aye,"Rep. Bill Huizenga [R, 2011-2022]",Republican
412438,MI,3,No,"Rep. Justin Amash [L, 2011-2020]",Independent
412443,MS,4,Aye,"Rep. Steven Palazzo [R, 2011-2022]",Republican
412444,MO,4,Aye,"Rep. Vicky Hartzler [R, 2011-2022]",Republican
412445,MO,7,Aye,"Rep. Billy Long [R, 2011-2022]",Republican
412460,OH,6,Aye,"Rep. Bill Johnson [R, 2011-2024]",Republican
412461,OH,15,Aye,"Rep. Steve Stivers [R, 2011-2021]",Republican
412463,OH,7,Aye,"Rep. Bob Gibbs [R, 2013-2022]",Republican
412465,PA,16,Aye,"Rep. Mike Kelly [R, 2019-2024]",Republican
412470,RI,1,No,"Rep. David Cicilline [D, 2011-2023]",Democrat
412472,SC,3,Aye,"Rep. Jeff Duncan [R, 2011-2024]",Republican
412476,TN,3,Aye,"Rep. Charles “Chuck” Fleischmann [R, 2011-2024]",Republican
412477,TN,4,Aye,"Rep. Scott DesJarlais [R, 2011-2024]",Republican
412480,TX,17,Aye,"Rep. Bill Flores [R, 2011-2020]",Republican
412485,VA,9,Aye,"Rep. Morgan Griffith [R, 2011-2024]",Republican
412486,WA,3,Aye,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican
412487,WV,1,Aye,"Rep. David McKinley [R, 2011-2022]",Republican
412500,NV,2,Aye,"Rep. Mark Amodei [R, 2011-2024]",Republican
412501,OR,1,No,"Rep. Suzanne Bonamici [D, 2012-2024]",Democrat
412503,KY,4,Aye,"Rep. Thomas Massie [R, 2012-2024]",Republican
412505,WA,1,No,"Rep. Suzan DelBene [D, 2012-2024]",Democrat
412506,NJ,10,No,"Rep. Donald Payne Jr. [D, 2012-2024]",Democrat
412510,CA,1,Aye,"Rep. Doug LaMalfa [R, 2013-2024]",Republican
412511,CA,2,No,"Rep. Jared Huffman [D, 2013-2024]",Democrat
412512,CA,7,No,"Rep. Ami Bera [D, 2013-2022]",Democrat
412513,CA,8,Aye,"Rep. Paul Cook [R, 2013-2020]",Republican
412514,CA,15,No,"Rep. Eric Swalwell [D, 2013-2022]",Democrat
412516,CA,26,No,"Rep. Julia Brownley [D, 2013-2024]",Democrat
412517,CA,29,No,"Rep. Tony Cárdenas [D, 2013-2024]",Democrat
412519,CA,36,No,"Rep. Raul Ruiz [D, 2013-2022]",Democrat
412520,CA,41,No,"Rep. Mark Takano [D, 2013-2022]",Democrat
412521,CA,47,No,"Rep. Alan Lowenthal [D, 2013-2022]",Democrat
412522,CA,51,No,"Rep. Juan Vargas [D, 2013-2022]",Democrat
412523,CA,52,No,"Rep. Scott Peters [D, 2013-2022]",Democrat
412525,FL,3,Aye,"Rep. Ted Yoho [R, 2013-2020]",Republican
412529,FL,21,No,"Rep. Lois Frankel [D, 2017-2022]",Democrat
412531,GA,9,Aye,"Rep. Doug Collins [R, 2013-2020]",Republican
412532,HI,2,Not Voting,"Rep. Tulsi Gabbard [D, 2013-2020]",Democrat
