House Vote #273 2019-06-12T23:40:00 - H.Amdt. 289 (Foster) to H.R. 2740: To increase the Biomedical Advanced Research and Development Authority account by $1,000,000 to support increased R&D for biosecurity.
person,state,district,vote,name,party
412212,MD,3,Aye,"Rep. John Sarbanes [D, 2007-2024]",Democrat
412213,MI,7,Aye,"Rep. Tim Walberg [R, 2011-2022]",Republican
412217,NE,3,Aye,"Rep. Adrian Smith [R, 2007-2024]",Republican
412221,NY,9,Aye,"Rep. Yvette Clarke [D, 2013-2024]",Democrat
412226,OH,4,No,"Rep. Jim Jordan [R, 2007-2024]",Republican
412236,TN,9,Aye,"Rep. Steve Cohen [D, 2007-2024]",Democrat
412239,VT,0,Aye,"Rep. Peter Welch [D, 2007-2022]",Democrat
412250,FL,12,Aye,"Rep. Gus Bilirakis [R, 2013-2024]",Republican
412255,VA,1,No,"Rep. Robert Wittman [R, 2007-2024]",Republican
412256,OH,5,Aye,"Rep. Robert Latta [R, 2007-2024]",Republican
412257,IL,11,Aye,"Rep. Bill Foster [D, 2013-2024]",Democrat
412258,IN,7,Aye,"Rep. André Carson [D, 2008-2024]",Democrat
412259,CA,14,Aye,"Rep. Jackie Speier [D, 2013-2022]",Democrat
412261,LA,1,Aye,"Rep. Steve Scalise [R, 2008-2024]",Republican
412272,VA,11,Aye,"Rep. Gerald Connolly [D, 2009-2024]",Democrat
412278,KY,2,Aye,"Rep. Brett Guthrie [R, 2009-2024]",Republican
412282,CT,4,Aye,"Rep. James “Jim” Himes [D, 2009-2024]",Democrat
412283,CA,50,No,"Rep. Duncan D. Hunter [R, 2013-2020]",Republican
412286,AZ,2,Aye,"Rep. Ann Kirkpatrick [D, 2019-2022]",Democrat
412292,MO,3,No,"Rep. Blaine Luetkemeyer [R, 2013-2024]",Republican
412293,NM,3,Aye,"Rep. Ben Ray Luján [D, 2009-2020]",Democrat
412295,CA,4,Aye,"Rep. Tom McClintock [R, 2009-2022]",Republican
412302,TX,22,No,"Rep. Pete Olson [R, 2009-2020]",Republican
412307,ME,1,Aye,"Rep. Chellie Pingree [D, 2009-2024]",Democrat
412309,FL,8,No,"Rep. Bill Posey [R, 2013-2024]",Republican
412310,TN,1,Aye,"Rep. David “Phil” Roe [R, 2009-2020]",Republican
412312,MP,0,Not Voting,"Rep. Gregorio Sablan [D, 2009-2024]",Democrat
412315,OR,5,Aye,"Rep. Kurt Schrader [D, 2009-2022]",Democrat
412317,PA,15,Aye,"Rep. Glenn Thompson [R, 2019-2024]",Republican
412318,NV,1,Aye,"Rep. Dina Titus [D, 2013-2024]",Democrat
412319,NY,20,Aye,"Rep. Paul Tonko [D, 2013-2024]",Democrat
412327,OH,11,Aye,"Rep. Marcia Fudge [D, 2008-2021]",Democrat
412331,IL,5,Aye,"Rep. Mike Quigley [D, 2009-2024]",Democrat
412379,CA,27,Aye,"Rep. Judy Chu [D, 2013-2022]",Democrat
